num.,name,arabic,sex,meaning
114,Abahh,اباه,m,الاباہ امام حسن بن ابراہیم عرفیت تھا، القاعدہ مامن کا ایک نجومی
115,Abaid,عبید,m,چھوٹا غلام
116,Abaj,آبج,m,قدامت، ہمیشگی، ابدیّت
117,Abakhtar,اباختر,m,سیارہ، شمال
118,Aban,ابن,m,ایرانی کیلنڈر کے 8th مہینہ ایک خاص فرشتے کا نام
119,Abanjar,ابنجر,m,لمبا، ہٹا کٹا، دلیر
120,Abann,ابن,m,طویل، مضبُوط، طاقتور
121,Abannak,آبَننَک,m,پائیدار، مضبوط
122,Abanus,آبانوس,m,آبنوس، گہرا سیاہ رنگ
123,Abar,عبر,m,صحابی کا نام
124,Abaravand,اباراوند,m,سَب سے بَڑھ کَر، اوّل، مُقَدَّم، سَب سے زیادہ
125,Abarin Notavan,عبران نوٹوں,m,عظیم شباب بخش
126,Abas,آبس,m,خوش ہونا
127,Abasi,عباسی,m,بنو عباس سے تعلق
128,Abasin,اباسین,m,دریائے سندھ
129,Abass,عباس,m,شیر،آپ کے چچا کا نام
130,Abba,ابا,m,والد، باپ
131,Abbaas,عباس,m,شیر
132,Abbad,ابُد,m,اللہ کا بندہ
133,Abbal,عبال,m,گلاب کا پودا
134,Abbam,عبا،,m,بھاری
135,Abbar,ابار,m,مضبوط، مستحکم
136,Abbas,عباس,m,حضور کے چچا کا نام
137,Abbasi,عباسی,m,عباس سے متعلق
138,Abbasiyah,عباسیہ,m,عباس سے متعلق
139,Abbudin,عابدین,m,عِبادَت گُزار، عابِد
140,Abd,عبد,m,بندہ، غلام
141,Abd Al Ala,عبد الاعلی,m,اعلی کے غلام
142,Abd Al Alim,عبد العلیم,m,سب کچھ جاننے والےکا بندہ
143,Abd Al Bari,عبد الباری,m,اللہ کا بندہ
144,Abd Al Hakim,عبدالحاکم,m,بڑی حکمت والے
145,Abd Al Jabbar,عبد الجبار,m,بہت طاقت ور
146,Abd Al Matin,عبدالمتین,m,مضبوط
147,Abd Al Qadir,عبد القادر,m,قابل
148,Abd Al Rashid,عبد الرشید,m,رشید
149,Abd Al Sami,عبدالسمی,m,خوب سننےوالے کا خادم
150,Abd Er Rahman,عبد الرحمان,m,رحم کرنے والے
151,Abd Khayr,عبدل خیر,m,خیر کا خٓادم
152,Abd Manaf,عبد المناف,m,مناف
153,Abdaal,ابدال,m,انتظام کرنے والا۔
154,Abdah,ابداه,m,عبد الرحمن کا پیار سے لیا جانے والا نام
155,Abdal,عبدل,m,بدل
156,Abdal Ati,عبد العطی,m,اللہ کا بندہ
157,Abdal Aziz,عبد العزیز,m,طاقَتور
158,Abdal Fattah,عبد الفتح,m,پرورش دینے والا
159,Abdal Hadi,عبدالحادی,m,قائد کے خادم
160,Abdal Hakim,عبدالحاکم,m,حکمت والے
161,Abdal Halim,عبد الحلیم,m,صبر والا
162,Abdal Hamid,عبد الحامد,m,قابل تعریف
163,Abdal Jabbar,عبد الجبار,m,مدد کرنے والے کا بندہ
164,Abdal Jabir,عبد الجبار,m,مددگار
165,Abdal Kadir,عبد الکادر,m,جوایک قابل آدمی کی خدمت کر تا ہے
166,Abdal Karim,عبد الکریم,m,کریم
167,Abdal Lafif,عبد الطیف,m,مہربان
168,Abdal Majid,عبدالماجد,m,با عظمت
169,Abdal Malik,عبد المالک,m,بادشاہ کے خادم
170,Abdal Mufi,عبد المفی,m,مُعطِی
171,Abdal Muhsin,عبد المحسن,m,ایک سخی داتا
172,Abdal Qadir,عبد القادر,m,قابل
173,Abdal Rahim,عبد الرحیم,m,رحم کرنے والے کا بندہ
174,Abdal Rahman,عبد الرحمان,m,رحم کرنے والے کے بندے
175,Abdal Rauf,عبد الرؤف,m,رحم کرنے والے کا بندہ
176,Abdal Raziq,عبدالرازق,m,مہیا کرنے والا
177,Abdal Razzaq,عبد الرزاق,m,مہیا کرنے والے
178,Abdal Salam,عبد السلام,m,امن
179,Abdal Wahab,عبدالوہاب,m,عطا کرنے والا
180,Abdalla,عبداللہ,m,خدا کے بندے
181,Abdallah,عبداللہ,m,اللہ کے بندے
182,Abdalrahman,عبد الرحمان,m,رحم کرنے والے
183,Abdan,ابدان,m,عبد سے ماخوذ ہے
184,Abdar,آبدار,m,شیشے کی مانند ٬صاف چمکدار، ۔ پانی جیسی چمک، شفاف، صاف، نفیس، بارونق، چمکیلی، پانی رکھنے والی خادمہ
185,Abdar Rahman,عبد الرحمان,m,رحم کرنے والے کا بندہ
186,Abdeel,عبدیل,m,بخارات
187,Abdel,عبدل,m,خدا کے بندے
188,Abdel Adir,عبد العدیر,m,جوہر قابل
189,Abdel Ati,عبد العطی,m,اللہ کا بندہ
190,Abdel Aziz,عبد العزیز,m,طاقَتور
191,Abdel Fattah,عبد الفتح,m,پرورش دینے والا
192,Abdel Gawwad,عبدالگواد,m,ایک عظیم الشان
193,Abdel Hadi,عبدالحادی,m,قائد کے خادم
194,Abdel Hakim,عبدالحاکم,m,حکمت والے
195,Abdel Halim,عبد الحلیم,m,صبر کرنے والا
196,Abdel Hamid,عبد الحامد,m,قابل تعریف
197,Abdel Kadir,عبد الکدیر,m,قابل
198,Abdel Kerim,عبد الکریم,m,کرم کرنے والے کا بندہ
199,Abdel Krim,عبد الکریم,m,کرم کرنے والے کا بندہ
200,Abdel Lafif,عبدا لفیف,m,مہربان
201,Abdel Malik,عبد المالک,m,بادشاہ
202,Abdel Mufi,عبد المُفی,m,مُعطِی
203,Abdel Qadir,عبد القادر,m,جوہر قابل
204,Abdel Salam,عبد السلام,m,امن دینے والے کا بندہ
205,Abder Rahim,عبد الرحیم,m,رحمان کا بندہ
206,Abder Rahman,عبد الرحمان,m,رحم کرنے والے کا بندہ
207,Abder Razi,عبد الرضی,m,مہیا کرنے والے
208,Abder Razza,عبد الرضا,m,مہیا کرنے والے
209,Abdi,عبدی,m,عبدل کا مختصر کیا ہوانام، مختصر کردہ
210,Abdu,ابدُ,m,خدا کا بندہ
211,Abdud Daar,عبدل دار,m,معزول کُنِندہ کا خادم
212,Abdul,عبدل,m,خدا کے بندے
213,Abdul Aakhir,عبد الاخر,m,آخری خادم
214,Abdul Aalee,عب الالی,m,حق تعالی کا بندے
215,Abdul Abdel Abd Al,عبدل عبدیل عبد ال,m,خادم اللہ کا
216,Abdul Adheem,عبدل ادھیم,m,عظیم کے خادم
217,Abdul Adl,عبدل عدل,m,بس کے خادم
218,Abdul Afuw,عبدل افو,m,معاف کرنے والے کا غلام
219,Abdul Ahad,عبدل احد,m,ایک کا خادم
220,Abdul Aleem,عبد العلیم,m,علام الغیوب
221,Abdul Ali,عبدل علی,m,اعلی ایک کے غلام
222,Abdul Alim,عبدالعلیم,m,علام الغیوب
223,Abdul Aliyy,عبدل علی,m,حق تعالی کا بندے
224,Abdul Awwal,عبد الاول,m,سب سے پہلے ایک کا غلام
225,Abdul Azeem,عبد العظیم,m,طاقت ور
226,Abdul Azeez,عبد العزیز,m,بہت طاقت ور، طاقَتور
227,Abdul Azim,عبد العظیم,m,طاقتور
228,Abdul Aziz,عبد العزیز,m,طاقتور
229,Abdul Baaqi,عبدالباقی,m,لازوال کے خادم
230,Abdul Baari,عبد الباری,m,خالق کا بندہ
231,Abdul Baasit,عبد الباسط,m,پھیلانے والے، خالق
232,Abdul Badee,عبد ل بدی,m,موجد کے غلام
233,Abdul Badi,عبد ل بدی,m,لاجواب کے خادم
234,Abdul Bais,عبدل بائس,m,اٹھاتا ہے جو ایک کا خادم
235,Abdul Baith,عبدل بیت,m,محافظ کے غلام
236,Abdul Bari,عبد الباری,m,خالق کا بندہ
237,Abdul Baseer,عبدالبصیر,m,سب دیکھنے والے کا غلام
238,Abdul Basir,عبدالبصیر,m,سب دیکھنے والے کا غلام
239,Abdul Basit,عبد الباسط,m,روزی فراخ کرنے والے کا بندہ، خالق
240,Abdul Batin,عبد ل بتن,m,غیب کا غلام
241,Abdul Dhahir,عبدل داہر,m,ظاہر کا خادم
242,Abdul Fatah,عبدالفتح,m,فتّاح
243,Abdul Ghaffar,عبد الغفار,m,بخشنے والے کا خادم
244,Abdul Ghafoor,عبد الغفور,m,بخشنے والے
245,Abdul Ghafur,عبدالغفور,m,بخشنے والے
246,Abdul Ghani,عبد الغنی,m,آزاد
247,Abdul Haady,عبد الحادے,m,راہنُمائی کَرنے والے
248,Abdul Haafiz,عبد الحفیظ,m,حفاظت کر نے والے
249,Abdul Hadeem,عبد الحدیم,m,عقلمند آدمی کا خدمت گزر
250,Abdul Hadi,عبدالہادی,m,راہنمائی کرنے والے کا بندہ
251,Abdul Hafeedh,عبدل حفیدہ,m,نگہبان کا خادم
252,Abdul Hafeez,عبد الحفیظ,m,وہ جو ماسٹر کی خدمت کر تا ہے
253,Abdul Hafiz,عبد الحفیظ,m,محافظ کے خادم
254,Abdul Hakam,عبد الحکم,m,ثالث
255,Abdul Hakeem,عبد الحکیم,m,صاحب حکمت والے کا خادم
256,Abdul Hakeen,عبدالحکین,m,عقلمند آدمی کا خدمت گزر
257,Abdul Hakim,عبد الحکیم,m,وہ جو عقلمند کی خدمت کر تا ہو؎
258,Abdul Haleem,عبد الحلیم,m,حلیم، صابر
259,Abdul Halim,عبد الحلیم,m,حلیم، صابر
260,Abdul Hameed,عبد الحمید,m,قابل تعریف، کبھی قابل ستائش
261,Abdul Hamid,عبد الحامد,m,قابل تعریف
262,Abdul Hannan,عبدل حنان,m,رحمان کے بندے
263,Abdul Haq,عبدالحق,m,سچائی
264,Abdul Haqq,عبد الحق,m,انصاف پرور
265,Abdul Haseeb,عبد الحسیب,m,مکرم، مغزز
266,Abdul Hasib,عبدل حسیب,m,محترم کے خادم
267,Abdul Hayy,عبدل حئی,m,زندہ رہنے والے کے خادم
268,Abdul Jabaar,عبدالجبار,m,بہت طاقت ور
269,Abdul Jabbar,عبد الجبار,m,وہ جو مددگار کی خدمت کر تا ہو
270,Abdul Jabir,عبد الجابر,m,مددگار
271,Abdul Jaleel,عبد الجلیل,m,عظیم، عزت کی
272,Abdul Jalil,عبد الجلیل,m,عظیم، عزت کی
273,Abdul Jame,عبدل جامی,m,جمع کرنے والے کے خادم
274,Abdul Jamil,عبدل جمیل,m,خوبصورت کے خادم
275,Abdul Jawwad,عبدل جواد,m,کریم کے غلام
276,Abdul Kabir,عبدل کبیر,m,عظیم کے غلام
277,Abdul Kadir,عبد القادر,m,جوایک قابل آدمی کی خدمت کر تا ہے
278,Abdul Kafi,عبدل کافی,m,آل کفیل کے بندے
279,Abdul Kareem,عبد الکریم,m,سخی آدمی کا خدمت گزر
280,Abdul Karim,عبد الکریم,m,با عظمت
281,Abdul Khaaliq,عبد الخالق,m,خالق کا بندہ
282,Abdul Khabir,عبدل خبیر,m,خبردار کا خادم
283,Abdul Khafiz,عبدل خفیظ,m,NULL
284,Abdul Khaliq,عبد الخالق,m,خالق کا بندہ
285,Abdul Lafif,عبدل للفیف,m,مہربان
286,Abdul Lateef,عبد الطیف,m,مہربان آدمی کا خدمت گزر
287,Abdul Latif,عبد الطیف,m,ایک بلند تخیل کے غلام
288,Abdul Maane,عبدالمانی,m,باز رَکھنے والے کا خادم
289,Abdul Magid,عبد المجید,m,بڑی عظمت والے کا بندہ
290,Abdul Majeed,عبد المجید,m,ایک عظیم الشان آدمی کا خدمت گزر
291,Abdul Majid,عبد الماجد,m,خدائے تعالی کے بندے
292,Abdul Malik,عبد المالک,m,رب کا غلام
293,Abdul Mani,عبدل مانی,m,روکتا ہے جو ایک کا غلام
294,Abdul Mannan,عبدالمننان,m,محسن کا غلام
295,Abdul Mateen,عبد المتین,m,مستحکم کے بندے، مظبوط
296,Abdul Medjid,عبد المدجید,m,بڑی عظمت والے کا بندہ
297,Abdul Mejid,عبد المجید,m,بڑی عظمت والے کا بندہ
298,Abdul Moakhir,عبدل موخر,m,عمل روک کا خادم
299,Abdul Mohsi,عبدل موحثی,m,گھیرے میں لینے والے کا خادم
300,Abdul Momit,عبدل مومیت,m,موت دینے والا کا خادم
301,Abdul Moqit,عبدل موقت,m,جان ڈالنے والے کا خادم
302,Abdul Mubdee,عبدل مبدی,m,موجد کے غلام
303,Abdul Mubdi,عبدل مبدی,m,موجد کے غلام
304,Abdul Mueed,عبدل معید,m,بحال کرنے کا غلام
305,Abdul Mueid,عبدل معید,m,بحال کرنے کا غلام
306,Abdul Mughni,عبد المغنی,m,مالا مال کرنے والا کا خادم
307,Abdul Muhsen,عبد االمحسن,m,ایک سخی داتا
308,Abdul Muhsi,عبدل محسی,m,حساب لینے والا کے خادم
309,Abdul Muhsin,عبدل محسن,m,محسن کا غلام
310,Abdul Muhyee,عبدل مہیی,m,زندہ کرتا ہے اور اسے برقرار والے کے غلام
311,Abdul Muhyi,عبدل مہیی,m,زندگی دینے والے کا خادم
312,Abdul Muid,عبدل مئید,m,بحال کرنے کا غلام
313,Abdul Muiz,عبدالمعز,m,قوت عظمت شان عطا کرنے والے
314,Abdul Muizz,عبد المعز,m,تعظیم و تکریم کرنے والا کا خادم
315,Abdul Mujeeb,عبدالمجیب,m,جواب دینے والا
316,Abdul Mujib,عبد المُجیب,m,مجیب
317,Abdul Mumin,عبدالمومن,m,ایمان کی نعمت عطا کرنے والے کا خادم
318,Abdul Munim,عبد المُنیم,m,محسن
319,Abdul Muntaqim,عبدالمنتقم,m,غلطیاں عذاب دے اور عذاب غصب کرنے والوں کا غلام
320,Abdul Muqaddim,عبدالمقددم,m,NULL
321,Abdul Muqeet,عبدالمقیت,m,رب کے غلام
322,Abdul Muqsit,عبدالمقست,m,مکمل کے غلام
323,Abdul Muqtadir,عبد المقتدر,m,طاقتور کا خادم
324,Abdul Musawwir,عبدالمصویر,m,صورتیں بنانے والے کا خادم
325,Abdul Mutaal,عبدالمطال,m,بہت زیادہ عظیم
326,Abdul Mutaalee,عبدالمتالی,m,سب سے زیادہ بلند کا خادم
327,Abdul Mutakabbir,عبدالمتکبر,m,بہت زبردست کا خادم
328,Abdul Mutali,عبدالمعطلی,m,حق تعالی کی نوکر
329,Abdul Muti,عبدل مطعی,m,دینے والے کا خادم
330,Abdul Mutlib,عبدالمطلب,m,حضرت محمد ﷺ کے دادا کا نام
331,Abdul Muttalib,عبد المُطلب,m,طالب کے غلام، نبی محمد ﷺکے دادا.
332,Abdul Muzanni,عبدالمزانی,m,حدیث کا ایک راوی
333,Abdul Nafi,عبدالنفی,m,محسن کا خادم
334,Abdul Nasir,عبدالناصر,m,دستگیر کا خادم
335,Abdul Nasser,عبد النصیر,m,دستگیر، فتح دینا
336,Abdul Noor,عبدالنور,m,نور کا بندہ
337,Abdul Nur,عبد النور,m,نورکا خادم
338,Abdul Qaadir,عبد القدیر,m,قابل
339,Abdul Qabiz,عبدالقابض,m,باز رَکھنے والے کا خادم
340,Abdul Qadar,عبد القادر,m,اللہ کا بندہ
341,Abdul Qadeer,عبدالقدیر,m,قدیر٬ قدرت والا - عبدل کا بندہ، زورآور، طاقتور، صاحب قدرت
342,Abdul Qader,عبد القادر,m,جوہر قابل
343,Abdul Qadir,عبدالقادر,m,قادر کا بندہ، اللہ پاک کا نام، اللہ کا بندہ، اللہ کا غلام
344,Abdul Qahaar,عبدالقہار,m,غالب، قادرِ مطلق
345,Abdul Qahir,عبدالقاہر,m,غالب کا خادم
346,Abdul Qaiyoum,عبدالقیوم,m,خود کو برقرار رکھنے کا خادم
347,Abdul Qawi,عبدالقوی,m,سب سے زیادہ مضبوط کا خادم
348,Abdul Qayyum,عبدالقیوم,m,نفس سیدھ کے بندے
349,Abdul Quddus,عبد القدوس,m,حضور کے خادم.
350,Abdul Qudoos,عبدالقدوس,m,سب سے زیادہ مقدس
351,Abdul Qudus,عبد القدوس,m,سب سے زیادہ مقدس
352,Abdul Raafi,عبدالرفیع,m,اٹھانے والا، بلند کرنا
353,Abdul Rabb,عبدالرب,m,رب کا غلام
354,Abdul Rafi,عبدالرفیع,m,اٹھاتا ہے جو ایک کا خادم
355,Abdul Raheem,عبد الرحیم,m,رحمان کا بندہ
356,Abdul Rahim,عبدالرحیم,m,رحیم کا بندہ، شفقت کرنے والا، نرمی کرنے والا، رحم کرنے والا
357,Abdul Rahmaan,عبد الرحمان,m,رحیم
358,Abdul Rahman,عبد الرحمان,m,رحم کرنے والے
359,Abdul Raouf,عبدالرؤف,m,رحم کرنے والا
360,Abdul Raqib,عبدالراقب,m,خبردارکرنے والے کا خادم
361,Abdul Rashid,عبد الراشد,m,جو حَق و اِنصاف رہنمائی کرے
362,Abdul Rauf,عبد الرؤف,m,رحم کرنے والے
363,Abdul Razaaq,عبد الرزاق,m,قائم کے خادم، مہیا کرنے والا
364,Abdul Razaq,عبدالرزاق,m,قائم رکھنے والے، فراہم کرنے والے
365,Abdul Razzaq,عبدالرزاق,m,مہیا کرنے والا
366,Abdul Rehman,عبدالرحمان,m,رحمان کا بندہ، اللہ توالی کا بندہ، خدا کا بندہ
367,Abdul Saboor,عبدالصبور,m,صابر
368,Abdul Sabur,عبدالصبور,m,صابر
369,Abdul Salaam,عبدالسلیم,m,امن
370,Abdul Salam,عبد السلام,m,امن دینے والے کا بندہ
371,Abdul Samad,عبد الصمد,m,ابدالی
372,Abdul Samee,عبدالسمیع,m,خوب سننےوالے کا خادم
373,Abdul Sattar,عبدالستار,m,حفاظت کرنے والے کا خادم
374,Abdul Shahid,عبدالشاہد,m,گواہ کا خادم
375,Abdul Shakoor,عبدالشکور,m,شکر گزار
376,Abdul Shakur,عبد الشکور,m,شکر گزار
377,Abdul Tawaab,عبد الطوات,m,بخشنے والے
378,Abdul Tawwab,عبدالتواب,m,بخشنے والے کا خادم
379,Abdul Vajed,عبدالواجد,m,تلاش کرنے والا کا خادم
380,Abdul Vakil,عبدالوکیل,m,عمل میں لانے والے کا خادم
381,Abdul Waahid,عبدالواحد,m,واحد
382,Abdul Waajid,عبدالواجد,m,تلاش کرنے والا کا خادم
383,Abdul Waali,عبدالولی,m,حاکَم کا خادم
384,Abdul Waase,عبدالواسع,m,وسیع کے خادم
385,Abdul Wadood,عبدالودو,m,محبت آميز
386,Abdul Wadud,عبد الودود,m,محبت کرنے والے
387,Abdul Wahaab,عبدالوہاب,m,عطا کرنے والا
388,Abdul Wahab,عبد الوہاب,m,عطا کرنے والے
389,Abdul Wahhab,عبد الوہاب,m,اچھی ملکیت والے کا خادم
390,Abdul Wahid,عبد الواحد,m,ایک
391,Abdul Wajid,عبدل واجد,m,تلاش کرنے والا کا خادم
392,Abdul Wakil,عبدالوکیل,m,متولّی کا خادم
393,Abdul Wali,عبدل ولی,m,حاکَم کا خادم
394,Abdul Waliy,عبدالولی,m,حفاظت کرنے والے کا خادم
395,Abdul Waris,عبدالوارث,m,لواحقین کا خادم
396,Abdul Warith,عبد الوریتہ,m,پہلے وارث کا غلام
397,Abdul Wasi,عبدالوسیع,m,سب کو گلے لگانے کے غلام
398,Abdul Zahir,عبدالظاہر,m,ظاہر کا خادم
399,Abdulla,عبداللہ,m,اللہ کا بندہ
400,Abdullaah,عبداللہ,m,اللہ کا بندہ
401,Abdullah,عبداللہ,m,اللہ کا بندہ
402,Abdulsalam,عبدالسلام,m,امن لانے والا
403,Abdun Naafe,عبدالنافیع,m,عطا کرنے والے اور بخشنے والے کے بندے
404,Abdur,آب در,m,موتی کی چمک۔آب و تاب
405,Abdur Rab,عبدالرب,m,خداوند کے خادم
406,Abdur Rafi,عبدالرفیع,m,عزوجل کے بندے
407,Abdur Rahim,عبد الرحیم,m,وہ جو خدمت کر تا ہو
408,Abdur Rahman,عبد الرحمان,m,رحم کرنے والے کا والے کا بندہ
409,Abdur Raqeeb,عبدالرقیب,m,سب دیکھنے والے کا غلام
410,Abdur Raqib,عبدالراقب,m,مشاہد کا خادم
411,Abdur Rashid,عبد الرشد,m,وہ جو نیک بخت آدمی کی خدمت کرتا ہو
412,Abdur Razzaq,عبد الرزاق,m,مہیا کرنے والے
413,Abdur Rehman,عبد الرحمان,m,رحم کرنے والے کا والے کا بندہ
414,Abdus,عبدص,m,حدیث سُنانے والے کا نام
415,Abdus Sabour,عبدالصبور,m,صابر کا خادم
416,Abdus Salam,عبد السلام,m,امن دینے والے کا بندہ
417,Abdus Sameei,عبدالسمیع,m,خوب سننے والے کا خادم
418,Abdus Sami,عبدالسمیع,m,خوب سننے والے کا خادم
419,Abdus Sattar,عبدوس ستار,m,گناہ چھپائے جو ایک کے غلام
420,Abdus Shafi,عبدوس شفیع,m,شفا بَخش کا غلام
421,Abdus Shaheed,عبدوس شہید,m,گواہ کا خادم
422,Abdus Subbooh,عبدوس صبوح,m,انتہائی خالص کے غلام
423,Abdus Subhan,عبدوس سبحان,m,پاک کے خادم
424,Abdus Subooh,عبدوس صبع,m,انتہائی خالص کا غلام
425,Abdush Shafi,عبدوش شفیع,m,شفا بَخش کا غلام
426,Abdush Shaheed,عبدوش شہید,m,گواہ کا خادم
427,Abdush Shahid,عبدوش شاہد,m,گواہ کا خادم
428,Abdut Tawwab,عبدوت تواب,m,بخشنے والے کے خادم
429,Abduz Zahir,عبدوز ظاہر,m,ظاہر کا خادم
430,Abed,عابد,m,پسند کرنا، بندہ
431,Abedin,عابدین,m,پَرِستار، بَندَہ
432,Abeed,عبید,m,ملازم، خدا کا بندہ، گوشہ نشین
433,Abeel,عبیل,m,صحت مند
434,Abees,عبیث,m,ایک پھول کا نام
435,Abeez,ابیض,m,اجلا، سفید
436,Abes,عابث,m,کھلاڑی
437,Abgina,آبگینہ,m,شیشہ ،کانچ
438,Abhaar,ابہار,m,سمندر، بحر، عظیم اور عظیم مرد
439,Abhar,ابہار,m,زیادہ شاندار، بہت عمدہ
440,Abid,عابد,m,عبادت کرنے والا
441,Abiq,عابق,m,خوشبودار، سانس باہر نکالنا، خوشبو
